Company,Ticker,Sector,PE Ratio,52 Week High,52 Week Low,Avg Volume,Market Cap
,AOMN,,,26.1,23.6,8819,
"Angel Oak Mortgage REIT, Inc.",AOMR,Real Estate,6.8307695,13.315,7.36,143588,187813600
Aon plc,AON,Financial Services,28.506006,412.97,268.06,1288755,76904996864
"Artivion, Inc.",AORT,Healthcare,,32.33,19.36,462052,957521024
A. O. Smith Corporation,AOS,Industrials,17.05785,92.45,58.83,1542795,8887314432
Ampco-Pittsburgh Corporation,AP,Industrials,95,2.79,0.74,31734,38179740
Artisan Partners Asset Management Inc.,APAM,Financial Services,9.346558,49.54,32.75,583075,2394790144
"Air Products and Chemicals, Inc.",APD,Basic Materials,14.841633,341.14,228.81,1466742,57023934464
APi Group Corporation,APG,Industrials,,41.31,30.755,1608757,9278263296
Amphenol Corporation,APH,Technology,32.958332,79.39,54.77,8773698,76681437184
"Apple Hospitality REIT, Inc.",APLE,Real Estate,13.095506,16.5,10.44,2736867,2783889920
"Apollo Global Management, Inc.",APO,Financial Services,16.398363,189.49,95.11,4318516,68571693056
,APOS,,,27.74,24.89,43027,
Aptiv PLC,APTV,Consumer Cyclical,7.2457037,85.56,47.19,3883852,11570984960
Algonquin Power & Utilities Corp.,AQN,Utilities,76,6.79,4.19,11652270,4082844928
,AQNB,,,26.5,24.59,33414,
Antero Resources Corporation,AR,Energy,177.44444,42.63,24.53,5169626,9939089408
Arcos Dorados Holdings Inc.,ARCO,Consumer Cyclical,10.279437,11.49,6.66,1655013,1537502848
"Ares Dynamic Credit Allocation Fund, Inc.",ARDC,Financial Services,7.9036145,15.62,11.52,121529,308871040
"Ardent Health Partners, Inc.",ARDT,Healthcare,7.2721515,20.72,11.49,482380,1640197504
"Alexandria Real Estate Equities, Inc.",ARE,Real Estate,41.92778,130.14,71.57,1504542,13055479808
Ares Management Corporation,ARES,Financial Services,66.70936,200.485,110.63,1989767,44226273280
"Argo Group U.S., Inc.",ARGD,,,22.85,19.19,10418,
"Apollo Commercial Real Estate Finance, Inc.",ARI,Real Estate,,11.2,7.7,1154475,1135270528
"Aris Water Solutions, Inc.",ARIS,Utilities,30.17284,33.95,13.344,905263,1444865920
